Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
FBS,Nouveaux Bilans Alimentaire,109,Jamaïque,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2792,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,110,Japon,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2705,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,112,Jordanie,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2732,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,108,Kazakhstan,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3067,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,114,Kenya,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2197,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,113,Kirghizistan,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2729,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,83,Kiribati,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3078,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,118,Koweït,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3471,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,122,Lesotho,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2323,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,119,Lettonie,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3229,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,121,Liban,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2857,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,123,Libéria,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2168,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,126,Lituanie,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3411,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,256,Luxembourg,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3465,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,154,Macédoine du Nord,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3072,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,129,Madagascar,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,1938,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,131,Malaisie,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2845,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,130,Malawi,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2392,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,132,Maldives,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2235,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,133,Mali,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,2873,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,134,Malte,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3420,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,143,Maroc,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3412,Fc,Donnée calculée
FBS,Nouveaux Bilans Alimentaire,137,Maurice,664,Disponibilité alimentaire (Kcal/personne/jour),2901,Total General,2018,2018,Kcal/personne/jour,3051,Fc,Donnée calculée
