Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","41","Chine, continentale","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","99.65","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","214","Chine, Taiwan Province de","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2983","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","214","Chine, Taiwan Province de","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","86.2","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","214","Chine, Taiwan Province de","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","130.88","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","50","Chypre","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3019","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","50","Chypre","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","91.67","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","50","Chypre","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","113.81","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","44","Colombie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3114","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","44","Colombie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","72.92","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","44","Colombie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","89.05","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","46","Congo","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2285","Fc","Donnée calculée"
